code,date,rank,trend_score,rating,confidence,prob_up_1d,prob_up_3d,prob_up_5d,pred_return_1d,pred_return_3d,pred_return_5d,ret_5d,ret_20d,rel_ret_5d,rel_ret_20d,turnover,log_money
bj833075,2025-09-30,41,48.05194805194805,中性,0.22465472579805498,0.6184620578563099,0.6119789875793106,0.606541043261462,0.003556534665099333,0.004977295669001843,0.004299428719185567,-0.008080808080808244,-0.12216924910607929,-0.024028665520830494,-0.12855835470905275,0.0159353240403701,16.62486264963679
bj831726,2025-09-30,42,46.75324675324675,中性,0.21591286143947444,0.6087638748183629,0.6083512977456358,0.606754119595213,0.002574801319697834,0.0052285067218452545,0.00452783052190291,-0.07953976988494293,-0.1279620853080573,-0.09548762732496519,-0.13435119091103076,0.0214330455179224,16.924833089754944
bj832089,2025-09-30,43,45.45454545454545,中性,0.2152674408362009,0.6033099592380562,0.6115314082027562,0.608059793813489,0.0042201849012029405,0.006684165554120242,0.004382702227268852,-0.009555930297919901,-0.14006832601268882,-0.025503787737942152,-0.14645743161566227,0.018136867870644,17.21468352521497
bj832171,2025-09-30,44,44.15584415584416,中性,0.21705969517340326,0.6074546016923732,0.6113781363729393,0.6067568046947924,0.0030533851460275677,0.005422778411239195,0.003957643078715473,0.01026045777426976,-0.13775682047827553,-0.0056873996657524906,-0.144145926081249,0.0377955757785204,17.999859247760508
bj832419,2025-09-30,45,42.857142857142854,中性,0.1931786994012493,0.591241528136868,0.601067075292302,0.5974594456727039,0.0033363134134564896,0.004716729073952719,0.0047748896699929344,-0.016847826086956452,-0.12608695652173907,-0.0327956835269787,-0.13247606212471252,0.0109008792476563,16.76218472145454
bj832802,2025-09-30,46,41.55844155844156,中性,0.22100772021560902,0.6169794693716246,0.6103482465879438,0.6041838643638451,0.0040735967489629885,0.005224335410325109,0.0036004946106612187,-0.014876033057851012,-0.0653423941453215,-0.030823890497873263,-0.07173149974829496,0.0294778495626395,16.278411771051953
bj831175,2025-09-30,47,40.25974025974026,中性,0.2179406088774766,0.6090333966453978,0.6108611431140165,0.6070163735568006,0.002705832018437217,0.004894568781022247,0.0033301618253311566,-0.022574740695546103,-0.13264753654574946,-0.03852259813556835,-0.1390366421487229,0.0400169369156426,17.55499084552001
bj832786,2025-09-30,48,38.961038961038966,偏弱,0.20744300569399368,0.6019840065082579,0.6074086925870422,0.6017718094456904,0.00348278706917241,0.005289013065756179,0.0035279796922585253,-0.015015015015014899,-0.10626702997275195,-0.03096287245503715,-0.1126561355757254,0.0330320119443202,17.651474060548495
bj430017,2025-09-30,49,37.66233766233766,偏弱,0.18344584203899514,0.5836059158211842,0.5974379060859242,0.5941249411513844,0.0037064875534162794,0.005187817269952658,0.004340357463022281,0.0043980208905991525,-0.11008280565026796,-0.011549836549423098,-0.11647191125324141,0.0085358883655132,16.768608779546454
bj830964,2025-09-30,50,36.36363636363637,偏弱,0.1922589687513024,0.5902251688812704,0.6005592411682544,0.5976040430774288,0.003777602066776715,0.005290787980482657,0.0037884740136016302,0.009395973154362025,-0.0884848484848485,-0.0065518842856602255,-0.09487395408782195,0.0233763696950841,16.96226775984168
