code,statDate,pubDate,quality_score,predicted_future_quality_score,predicted_quality_trend,score,trend_score,rank,rating
sh600985,2025-03-31,2025-05-15,28.73620374380948,36.33711284887046,7.600909105060985,84.38256658595643,84.38256658595643,259,强
sz300183,2025-03-31,2025-05-15,36.16685559346196,43.7481654634805,7.581309870018535,84.32203389830508,84.32203389830508,260,强
sz300723,2025-03-31,2025-05-15,38.96331328990004,46.521087029533525,7.557773739633485,84.26150121065376,84.26150121065376,261,强
sz002185,2025-03-31,2025-05-15,30.667454113529537,38.12008450115077,7.4526303876212365,84.20096852300242,84.20096852300242,262,强
sh600373,2025-03-31,2025-05-15,28.727705669274233,36.17092750645125,7.4432218371770205,84.14043583535108,84.14043583535108,263,强
sz300855,2025-03-31,2025-05-15,40.77136846089688,48.052407981325985,7.281039520429101,84.07990314769975,84.07990314769975,264,强
sz002041,2025-03-31,2025-05-15,34.17632200796553,41.45020768456742,7.273885676601883,84.01937046004842,84.01937046004842,265,强
sz002254,2025-03-31,2025-05-15,26.16352500164711,33.43503738729486,7.271512385647753,83.9588377723971,83.9588377723971,266,强
sh600765,2025-03-31,2025-05-15,30.698567824859683,37.968748483053346,7.2701806581936665,83.89830508474576,83.89830508474576,267,强
sh600528,2025-03-31,2025-05-15,24.174709148727867,31.41294278471316,7.238233635985291,83.83777239709444,83.83777239709444,268,强
sh601111,2025-03-31,2025-05-15,22.652102005429064,29.778101204341386,7.1259991989123215,83.7772397094431,83.7772397094431,269,强
sz301371,2025-03-31,2025-05-15,42.02045125394845,49.14408086824549,7.12362961429704,83.71670702179176,83.71670702179176,270,强
sh600348,2025-03-31,2025-05-15,38.957080041832725,46.075930511988744,7.118850470156016,83.65617433414043,83.65617433414043,271,强
sh601163,2025-03-31,2025-05-15,31.67351257634144,38.721752497797965,7.048239921456528,83.5956416464891,83.5956416464891,272,强
sz300568,2025-03-31,2025-05-15,37.62320058917084,44.66425450037748,7.041053911206639,83.53510895883777,83.53510895883777,273,强
sh600248,2025-03-31,2025-05-15,20.489880731281144,27.51841090840734,7.028530177126196,83.47457627118644,83.47457627118644,274,强
sz002182,2025-03-31,2025-05-15,30.277751729815865,37.29609086571471,7.018339135898845,83.41404358353512,83.41404358353512,275,强
sz301238,2025-03-31,2025-05-15,27.572890020640646,34.584569138583355,7.011679117942707,83.35351089588377,83.35351089588377,276,强
sz300134,2025-03-31,2025-05-15,34.39501146230982,41.39365285936762,6.9986413970578,83.29297820823246,83.29297820823246,277,强
sz301039,2025-03-31,2025-05-15,33.03112022983513,40.00062706912719,6.969506839292056,83.23244552058111,83.23244552058111,278,强
sh603327,2025-03-31,2025-05-15,32.79517691254371,39.71548988987407,6.920312977330361,83.17191283292978,83.17191283292978,279,强
sz300136,2025-03-31,2025-05-15,32.998101666131056,39.80062303287222,6.80252136674116,83.11138014527845,83.11138014527845,280,强
sz300031,2025-03-31,2025-05-15,39.18773285767851,45.99007601832151,6.802343160642996,83.05084745762711,83.05084745762711,281,强
