index_code,date,open,close,low,high,volume,money,change
sz399001,1996-09-11,2548.86,2587.4,2501.60,2631.77,531906600.0,3531993000.0,0.01923122375501274
sz399001,1996-09-10,2601.94,2538.58,2526.05,2650.64,516006800.0,3489876900.0,-0.039100943267673105
sz399001,1996-09-09,2650.32,2641.88,2613.19,2672.17,508322000.0,3532770000.0,-0.008794441192802371
sz399001,1996-09-06,2669.77,2665.32,2638.63,2728.56,767545300.0,5222602700.0,-0.010348322992436487
sz399001,1996-09-05,2838.05,2693.19,2687.90,2855.01,1118125100.0,7887456200.0,-0.04502565448182205
sz399001,1996-09-04,2769.80,2820.17,2760.94,2823.73,1162633400.0,8730711000.0,0.016713473525584055
sz399001,1996-09-03,2801.02,2773.81,2739.66,2817.19,1298547100.0,9460186100.0,-0.004968324688089609
sz399001,1996-09-02,2720.72,2787.66,2698.96,2797.74,1576034600.0,11207292900.0,0.027920971702913633
sz399001,1996-08-30,2625.03,2711.94,2618.63,2725.63,1276727200.0,9442088900.0,0.03907339576085467
sz399001,1996-08-29,2559.58,2609.96,2534.07,2610.23,855188700.0,5988382200.0,0.019061824031486152
sz399001,1996-08-28,2497.15,2561.14,2487.63,2569.30,763355900.0,5109090800.0,0.02991454709962804
sz399001,1996-08-27,2436.14,2486.75,2422.01,2490.21,436730200.0,2855130100.0,0.017054865953661347
sz399001,1996-08-26,2491.53,2445.05,2435.21,2517.83,489137800.0,3033118900.0,-0.03360381333322793
sz399001,1996-08-23,2599.46,2530.07,2478.83,2601.25,619676400.0,4119101900.0,-0.019945304389593854
sz399001,1996-08-22,2676.50,2581.56,2570.79,2681.29,596182900.0,4125345000.0,-0.02552855778558738
sz399001,1996-08-21,2541.09,2649.19,2541.09,2660.75,698393700.0,5002452900.0,0.044266799112298916
sz399001,1996-08-20,2608.26,2536.89,2534.84,2630.17,425387400.0,2920072900.0,-0.03516458440298931
sz399001,1996-08-19,2673.10,2629.35,2626.12,2678.31,376524900.0,2774712000.0,-0.01640356127487652
sz399001,1996-08-16,2669.29,2673.2,2587.71,2699.59,552879900.0,4137356000.0,-0.0073118471233507565
sz399001,1996-08-15,2730.33,2692.89,2687.87,2750.93,444483100.0,3417960900.0000005,-0.015609064223805591
sz399001,1996-08-14,2770.59,2735.59,2731.34,2781.02,553916700.0,4238445000.0,-0.004997581228881165
sz399001,1996-08-13,2725.15,2749.33,2717.59,2749.33,625651600.0,4530579900.0,0.009932813917694183
sz399001,1996-08-12,2721.93,2722.29,2699.55,2749.52,794893800.0,5830712800.0,0.003413157982034676
sz399001,1996-08-09,2745.15,2713.03,2670.40,2748.92,757460300.0,5477670900.0,-0.010662699150703503
sz399001,1996-08-08,2762.55,2742.27,2721.47,2775.91,816285800.0,6014759900.0,-0.002716620480481713
sz399001,1996-08-07,2658.21,2749.74,2651.78,2774.36,946266000.0,7518879700.0,0.03814309607318278
sz399001,1996-08-06,2620.82,2648.71,2587.62,2660.15,628787900.0,4577191900.0,0.010660988945996763
sz399001,1996-08-05,2562.83,2620.77,2508.30,2621.49,559039900.0,3711832000.0,0.02118531795511225
sz399001,1996-08-02,2639.80,2566.4,2528.94,2658.75,624004900.0,4155372000.0,-0.019904373462872105
sz399001,1996-08-01,2583.15,2618.52,2550.98,2624.10,599316700.0,3918426100.0,0.011867177265718842
sz399001,1996-07-31,2646.39,2587.81,2566.30,2670.97,783979900.0,5171149800.0,-0.024550121751717002
sz399001,1996-07-30,2718.38,2652.94,2640.31,2727.19,1189948100.0,8376222200.0,-0.012716263941558004
sz399001,1996-07-29,2559.78,2687.11,2559.78,2687.11,1084356900.0,7568803800.0,0.05301293581469002
sz399001,1996-07-26,2569.34,2551.83,2535.14,2613.59,809018900.0,5477829100.0,-0.013907458787705607
sz399001,1996-07-25,2649.34,2587.82,2572.07,2692.31,1157491500.0,7757553100.000001,-0.026102860927750382
sz399001,1996-07-24,2669.61,2657.18,2610.91,2678.90,1492728100.0,9881818100.0,0.003250810814892535
sz399001,1996-07-23,2601.09,2648.57,2554.63,2663.89,1493886900.0,9875947500.0,0.02251520123540196
sz399001,1996-07-22,2527.71,2590.25,2499.34,2594.54,1413990400.0,8964684800.0,0.027546701258722495
sz399001,1996-07-19,2502.76,2520.81,2453.75,2520.81,1448054900.0,8901697500.0,0.0164515465663444
sz399001,1996-07-18,2350.03,2480.01,2350.03,2480.32,1186980500.0,7281068000.0,0.04645304482851742
sz399001,1996-07-17,2434.30,2369.92,2331.42,2492.76,1636792500.0,9792821200.0,-0.023245078967325083
sz399001,1996-07-16,2400.36,2426.32,2352.36,2429.96,1489248700.0,8804184000.0,0.025884740602934553
sz399001,1996-07-15,2354.26,2365.1,2304.12,2377.41,1583935600.0,9021582300.0,0.017711300635988803
sz399001,1996-07-12,2191.32,2323.94,2175.59,2324.79,956664800.0,5983781800.000001,0.04783461460423388
sz399001,1996-07-11,2305.36,2217.85,2217.85,2312.92,1152310900.0,6875463100.000001,-0.029646352614838167
sz399001,1996-07-10,2262.90,2285.61,2226.57,2285.61,1143135100.0,6934188000.0,0.017807999572501343
sz399001,1996-07-09,2219.52,2245.62,2185.52,2248.92,963546300.0,6138407900.0,0.018287844229103678
sz399001,1996-07-08,2178.16,2205.29,2156.75,2208.76,896554300.0,5806713800.0,0.02530615660712443
sz399001,1996-07-05,2101.82,2150.86,2090.71,2191.25,976705000.0,6241353199.999999,0.030554504118174064
