code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz300308,2024-06-11,118.99,121.66,117.39,119.01,-0.004183750313781265,19973543.0,2379405438.0,132781189547.58,133430026236.09,0.017902018806498356,780.9919485078041,2024-08-26,2024-06-30,33.63117042165815,7.6190883107425265,78.04740441792748,7.784798819838038,118.27264723315795
sz300308,2024-06-12,119.0,121.33,117.02,119.21,0.0016805310478109625,16624956.0,1985567479.0,133004332459.18,133654259537.89,0.014900725172755163,782.3044297253618,2024-08-26,2024-06-30,33.68768864772597,7.631892425204743,78.17856550425287,7.797881415955739,118.47140808894008
sz300308,2024-06-13,120.87,126.43,119.68,123.7,0.037664625450885,30630949.0,3771612455.0,138013890824.6,138688297163.3,0.027454108920930653,811.7696330595357,2024-08-26,2024-06-30,34.9565228229486,7.919344794881526,81.12313189225803,8.091585698798127,122.93358930124896
sz300308,2024-06-14,125.01,140.48,124.08,138.3,0.11802748585286982,58687383.0,7839639212.0,154303323371.4,155057328194.69998,0.05260071456376929,907.5807619412594,2024-08-26,2024-06-30,39.08235332589969,8.854045150623405,90.69789119401202,9.046615215390307,137.44313177334462
sz300308,2024-06-17,141.0,144.94,140.5,142.51,0.030441070137382287,37826641.0,5391099007.0,159000481660.58,159777439197.59,0.03390351118820841,935.2084915708522,2024-08-26,2024-06-30,40.27206198462736,9.123571760053082,93.45883206116162,9.322003863667916,141.6270477875585
sz300308,2024-06-18,142.58,151.49,142.58,146.91,0.03087502631394301,34457834.0,5098018676.0,163909625715.78,164710571837.19,0.030884094639553855,964.0830783571253,2024-08-26,2024-06-30,41.51546295811947,9.405262278221867,96.34437596032036,9.609820978257341,145.9997866147654
sz300308,2024-06-19,149.75,150.24,144.2,146.0,-0.006194268599822972,24641347.0,3612996769.0,162894325468.0,163690310314.0,0.022085708950657968,958.111288817237,2024-08-26,2024-06-30,41.25830502951088,9.347003557418779,95.7475930175398,9.550295165921801,145.09542472095671
sz300308,2024-06-20,146.0,148.96,144.66,144.7,-0.008904109589041198,20839844.0,3048856054.0,161443896542.6,162232793852.3,0.01867847277833942,949.5801609031109,2024-08-26,2024-06-30,40.890936560070024,9.263776813414363,94.89504595642471,9.465258291156742,143.80347915837285
sz300308,2024-06-21,140.5,145.8,140.01,143.0,-0.011748445058742174,23695838.0,3370036605.0,159547181794.0,160326810787.0,0.021238261910355032,938.4240705538691,2024-08-26,2024-06-30,40.41053163849353,9.154941840485515,93.78017672265885,9.354056224156285,142.11401188422474
sz300308,2024-06-24,145.2,146.49,139.55,140.21,-0.019510489510489504,20461306.0,2921350284.0,156434338177.18,157198756226.88998,0.018339194243981533,920.1149575689371,2024-08-26,2024-06-30,39.622102384847395,8.976324443737582,91.95047956841955,9.171554008314352,139.341297946064
sz300308,2024-06-25,135.0,137.6,133.55,134.9,-0.03787176378289714,26448922.0,3578138739.0,150509893874.2,151245362064.1,0.02370581418908043,885.2685812427758,2024-08-26,2024-06-30,38.121543482746695,8.636375204765708,88.46815272648027,8.82421108138939,134.06419722504836
sz300308,2024-06-26,138.0,140.77,137.6,140.0,0.037805782060785775,26628316.0,3707870889.0,156200038120.0,156963311260.0,0.02386660262615306,918.7368522905012,2024-08-26,2024-06-30,39.56275824747618,8.962880123552253,91.81276042777789,9.157817282390768,139.13259904749276
sz300308,2024-06-27,137.97,140.0,135.8,136.14,-0.02757142857142869,17307415.0,2379118680.0,151893379926.12,152635608535.26,0.015512404024757738,893.4059647916345,2024-08-26,2024-06-30,38.471956484367205,8.715760714431456,89.28135146169775,8.905323177319138,135.29651453089758
sz300308,2024-06-28,136.0,141.84,135.75,137.88,0.012780960775672146,22826311.0,3172321954.0,153834723257.04,154586438260.91998,0.020458916517964804,904.824551384388,2024-08-26,2024-06-30,38.96366505115726,8.827156510252747,90.42245291272869,9.019141763543136,137.02573397620213
